Time [s]	Integrated Pressure [kN/m]
0.0000	0.0000
0.0010	0.0000
0.0020	0.0000
0.0030	0.0000
0.0040	0.0000
0.0050	0.0000
0.0060	0.0000
0.0070	0.0000
0.0080	0.0000
0.0090	0.0007
0.0100	0.0014
0.0110	0.0022
0.0120	0.0037
0.0130	0.0045
0.0140	0.0073
0.0150	0.0110
0.0160	0.0138
0.0170	0.0175
0.0180	0.0247
0.0190	0.0262
0.0200	0.0291
0.0210	0.0289
0.0220	0.0276
0.0230	0.0231
0.0240	0.0178
0.0250	0.0113
0.0260	0.0033
0.0270	-0.0031
0.0280	-0.0090
0.0290	-0.0149
0.0300	-0.0197
0.0310	-0.0197
0.0320	-0.0182
0.0330	-0.0128
0.0340	-0.0039
0.0350	0.0060
0.0360	0.0188
0.0370	0.0300
0.0380	0.0398
0.0390	0.0460
0.0400	0.0498
0.0410	0.0493
0.0420	0.0473
0.0430	0.0393
0.0440	0.0289
0.0450	0.0176
0.0460	0.0060
0.0470	-0.0063
0.0480	-0.0162
0.0490	-0.0236
0.0500	-0.0261
0.0510	-0.0260
0.0520	-0.0231
0.0530	-0.0150
0.0540	-0.0039
0.0550	0.0087
0.0560	0.0209
0.0570	0.0335
0.0580	0.0432
0.0590	0.0461
0.0600	0.0485
0.0610	0.0490
0.0620	0.0438
0.0630	0.0344
0.0640	0.0227
0.0650	0.0108
0.0660	-0.0019
0.0670	-0.0111
0.0680	-0.0216
0.0690	-0.0269
0.0700	-0.0291
0.0710	-0.0271
0.0720	-0.0201
0.0730	-0.0130
0.0740	-0.0033
0.0750	0.0101
0.0760	0.0200
0.0770	0.0304
0.0780	0.0380
0.0790	0.0434
0.0800	0.0461
0.0810	0.0426
0.0820	0.0381
0.0830	0.0301
0.0840	0.0211
0.0850	0.0114
0.0860	0.0015
0.0870	-0.0067
0.0880	-0.0117
0.0890	-0.0163
0.0900	-0.0184
0.0910	-0.0163
0.0920	-0.0118
0.0930	-0.0052
0.0940	0.0039
0.0950	0.0126
0.0960	0.0223
0.0970	0.0299
0.0980	0.0373
0.0990	0.0418
0.1000	0.0421
0.1010	0.0405
0.1020	0.0360
0.1030	0.0299
0.1040	0.0211
0.1050	0.0117
0.1060	0.0027
0.1070	-0.0047
0.1080	-0.0121
0.1090	-0.0147
0.1100	-0.0169
0.1110	-0.0156
0.1120	-0.0112
0.1130	-0.0064
0.1140	0.0017
0.1150	0.0100
0.1160	0.0166
0.1170	0.0247
0.1180	0.0308
0.1190	0.0327
0.1200	0.0345
0.1210	0.0350
0.1220	0.0307
0.1230	0.0248
0.1240	0.0154
0.1250	0.0080
0.1260	0.0017
0.1270	-0.0051
0.1280	-0.0104
0.1290	-0.0148
0.1300	-0.0164
0.1310	-0.0163
0.1320	-0.0114
0.1330	-0.0055
0.1340	0.0008
0.1350	0.0077
0.1360	0.0151
0.1370	0.0225
0.1380	0.0273
0.1390	0.0309
0.1400	0.0318
0.1410	0.0319
0.1420	0.0290
0.1430	0.0245
0.1440	0.0184
0.1450	0.0110
0.1460	0.0042
0.1470	-0.0018
0.1480	-0.0071
0.1490	-0.0101
0.1500	-0.0130
0.1510	-0.0124
0.1520	-0.0088
0.1530	-0.0043
0.1540	0.0005
0.1550	0.0073
0.1560	0.0126
0.1570	0.0186
0.1580	0.0243
0.1590	0.0274
0.1600	0.0298
0.1610	0.0291
0.1620	0.0267
0.1630	0.0210
0.1640	0.0163
0.1650	0.0097
0.1660	0.0037
0.1670	-0.0050
0.1680	-0.0088
0.1690	-0.0112
0.1700	-0.0126
0.1710	-0.0128
0.1720	-0.0092
0.1730	-0.0042
0.1740	0.0004
0.1750	0.0064
0.1760	0.0123
0.1770	0.0187
0.1780	0.0230
0.1790	0.0266
0.1800	0.0274
0.1810	0.0270
0.1820	0.0247
0.1830	0.0216
0.1840	0.0150
0.1850	0.0091
0.1860	0.0037
0.1870	-0.0021
0.1880	-0.0064
0.1890	-0.0108
0.1900	-0.0110
0.1910	-0.0110
0.1920	-0.0097
0.1930	-0.0072
0.1940	-0.0020
0.1950	0.0031
0.1960	0.0102
0.1970	0.0147
0.1980	0.0198
0.1990	0.0215
0.2000	0.0228
0.2010	0.0231
0.2020	0.0209
0.2030	0.0178
0.2040	0.0130
0.2050	0.0064
0.2060	0.0020
0.2070	-0.0026
0.2080	-0.0074
0.2090	-0.0072
0.2100	-0.0076
0.2110	-0.0076
0.2120	-0.0049
0.2130	-0.0030
0.2140	-0.0002
0.2150	0.0050
0.2160	0.0101
0.2170	0.0128
0.2180	0.0164
0.2190	0.0181
0.2200	0.0189
0.2210	0.0163
0.2220	0.0135
0.2230	0.0112
0.2240	0.0075
0.2250	0.0026
0.2260	-0.0012
0.2270	-0.0038
0.2280	-0.0075
0.2290	-0.0080
0.2300	-0.0078
0.2310	-0.0071
0.2320	-0.0056
0.2330	0.0004
0.2340	0.0041
0.2350	0.0057
0.2360	0.0096
0.2370	0.0132
0.2380	0.0169
0.2390	0.0179
0.2400	0.0176
0.2410	0.0169
0.2420	0.0141
0.2430	0.0107
0.2440	0.0069
0.2450	0.0023
0.2460	-0.0022
0.2470	-0.0040
0.2480	-0.0077
0.2490	-0.0105
0.2500	-0.0100
0.2510	-0.0093
0.2520	-0.0072
0.2530	-0.0043
0.2540	0.0016
0.2550	0.0060
0.2560	0.0086
0.2570	0.0122
0.2580	0.0151
0.2590	0.0166
0.2600	0.0180
0.2610	0.0180
0.2620	0.0152
0.2630	0.0136
0.2640	0.0102
0.2650	0.0059
0.2660	0.0035
0.2670	0.0004
0.2680	-0.0026
0.2690	-0.0041
0.2700	-0.0060
0.2710	-0.0043
0.2720	-0.0031
0.2730	-0.0009
0.2740	0.0028
0.2750	0.0043
0.2760	0.0080
0.2770	0.0116
0.2780	0.0139
0.2790	0.0145
0.2800	0.0134
0.2810	0.0133
0.2820	0.0132
0.2830	0.0121
0.2840	0.0099
0.2850	0.0063
0.2860	0.0027
0.2870	0.0015
0.2880	0.0023
0.2890	-0.0005
0.2900	-0.0018
0.2910	-0.0019
0.2920	0.0002
0.2930	0.0016
0.2940	0.0046
0.2950	0.0051
0.2960	0.0050
0.2970	0.0086
0.2980	0.0102
0.2990	0.0118
0.3000	0.0125
0.3010	0.0125
0.3020	0.0104
0.3030	0.0083
0.3040	0.0084
0.3050	0.0061
0.3060	0.0039
0.3070	0.0016
0.3080	-0.0000
0.3090	-0.0002
0.3100	-0.0009
0.3110	-0.0016
0.3120	-0.0002
0.3130	0.0013
0.3140	0.0029
0.3150	0.0051
0.3160	0.0087
0.3170	0.0109
0.3180	0.0125
0.3190	0.0132
0.3200	0.0133
0.3210	0.0126
0.3220	0.0112
0.3230	0.0110
0.3240	0.0084
0.3250	0.0063
0.3260	0.0041
0.3270	0.0018
0.3280	0.0009
0.3290	0.0002
0.3300	-0.0005
0.3310	0.0014
0.3320	0.0015
0.3330	0.0031
0.3340	0.0060
0.3350	0.0082
0.3360	0.0121
0.3370	0.0136
0.3380	0.0150
0.3390	0.0171
0.3400	0.0165
0.3410	0.0144
0.3420	0.0130
0.3430	0.0116
0.3440	0.0087
0.3450	0.0063
0.3460	0.0026
0.3470	-0.0001
0.3480	-0.0043
0.3490	-0.0057
0.3500	-0.0053
0.3510	-0.0036
0.3520	-0.0029
0.3530	-0.0007
0.3540	0.0009
0.3550	0.0018
0.3560	0.0040
0.3570	0.0060
0.3580	0.0082
0.3590	0.0083
0.3600	0.0109
0.3610	0.0102
0.3620	0.0124
0.3630	0.0097
0.3640	0.0081
0.3650	0.0060
0.3660	0.0057
0.3670	0.0041
0.3680	0.0027
0.3690	0.0028
0.3700	0.0046
0.3710	0.0037
0.3720	0.0049
0.3730	0.0065
0.3740	0.0092
0.3750	0.0095
0.3760	0.0095
0.3770	0.0104
0.3780	0.0105
0.3790	0.0113
0.3800	0.0101
0.3810	0.0088
0.3820	0.0081
0.3830	0.0068
0.3840	0.0065
0.3850	0.0049
0.3860	0.0028
0.3870	0.0013
0.3880	0.0015
0.3890	0.0006
0.3900	0.0006
0.3910	0.0012
0.3920	0.0026
0.3930	0.0015
0.3940	0.0029
0.3950	0.0045
0.3960	0.0040
0.3970	0.0068
0.3980	0.0071
0.3990	0.0071
0.4000	0.0050
0.4010	0.0050
0.4020	0.0030
0.4030	0.0030
0.4040	0.0015
0.4050	0.0001
0.4060	-0.0009
0.4070	-0.0005
0.4080	-0.0007
0.4090	-0.0000
0.4100	0.0011
0.4110	0.0004
0.4120	-0.0001
0.4130	0.0001
0.4140	0.0016
0.4150	0.0023
0.4160	0.0039
0.4170	0.0060
0.4180	0.0067
0.4190	0.0067
0.4200	0.0067
0.4210	0.0067
0.4220	0.0073
0.4230	0.0066
0.4240	0.0065
0.4250	0.0057
0.4260	0.0041
0.4270	0.0027
0.4280	0.0032
0.4290	0.0024
0.4300	0.0011
0.4310	0.0011
0.4320	-0.0001
0.4330	-0.0005
0.4340	-0.0004
0.4350	0.0014
0.4360	0.0028
0.4370	0.0037
0.4380	0.0063
0.4390	0.0045
0.4400	0.0059
0.4410	0.0050
0.4420	0.0042
0.4430	0.0034
0.4440	0.0033
0.4450	0.0026
0.4460	0.0011
0.4470	-0.0004
0.4480	-0.0027
0.4490	-0.0034
0.4500	-0.0042
0.4510	-0.0042
0.4520	-0.0043
0.4530	-0.0040
0.4540	-0.0033
0.4550	-0.0025
0.4560	-0.0008
0.4570	0.0000
0.4580	0.0007
0.4590	0.0014
0.4600	0.0016
0.4610	0.0013
0.4620	0.0031
0.4630	0.0021
0.4640	0.0014
0.4650	0.0018
0.4660	0.0023
0.4670	0.0008
0.4680	-0.0002
0.4690	-0.0010
0.4700	-0.0004
0.4710	-0.0004
0.4720	0.0018
0.4730	0.0021
0.4740	0.0028
0.4750	0.0034
0.4760	0.0053
0.4770	0.0053
0.4780	0.0060
0.4790	0.0041
0.4800	0.0047
0.4810	0.0047
0.4820	0.0035
0.4830	0.0028
0.4840	0.0021
0.4850	0.0014
0.4860	0.0000
0.4870	-0.0001
0.4880	-0.0001
0.4890	0.0006
0.4900	-0.0008
0.4910	0.0001
0.4920	0.0015
0.4930	0.0027
0.4940	0.0036
0.4950	0.0033
0.4960	0.0040
0.4970	0.0042
0.4980	0.0043
0.4990	0.0063
0.5000	0.0063
0.5010	0.0056
0.5020	0.0062
0.5030	0.0062
0.5040	0.0054
